,Dizi İsimleri,Yapım Yılı,Bölüm Sayısı,Sezon Sayısı,Yönetmen,Senarist,Platform,Türler,Aile,Dram,Komedi,Aksiyon,Polisiye,Tarihi,Romantik,Yapım Şirketi,Başroller,Gösterim Süresi,Besteci,Ödüllü Yönetmen,Ödüllü Aktör,İhraç,Sonuç
35,Kısmet,2023,10,1,Semih Bağcı,Mahinur Ergun,FOX,['Romantik komedi'],0,0,1,0,0,0,1,NTC Medya,Cem GelinoğluÖzge ÖzacarCenan AdıgüzelSerdar Orçin,110,Berkay ŞenolŞahin Kurnaz,0,0,0,Başarısız
36,Kızılelma: Bir Fetih Öyküsü,2023,8,1,Kamil Aydın,Ozan Bodur,tabii,"['Tarihî', 'Biyografi']",0,0,0,0,0,1,0,Tekden Film,"Miraç Sözer,Murat Garipağaoğlu,Emre Başer,Hakan Vanlı",60,Gürkan Çakıcı,0,0,0,Başarısız
37,Kirli Sepeti,2023,13,1,Ece Erdek Koçoğlu,Merve Girgin Aytekin,FOX,['Dram'],0,1,0,0,0,0,0,Medyapım,"Ayça Bingöl,Ceren Moray,Cansu Tosun",115,Sertaç Özgümüş,0,1,0,Başarısız
38,Kod Adı Kırlangıç,2023,7,1,Emir Khalilzadeh,Sümeyye Karaaslan,TRT 1,"['Komedi', 'Teknoloji']",0,0,1,0,0,0,0,Zera Medya,"Serkan Şenalp,Gizem Arıkan,Korhan Herduran",60,Zeynep Alasya,0,0,0,Başarısız
39,Koyu Beyaz,2023,8,1,Bülent İşbilen,Unknown,tabii,['Komedi'],0,0,1,0,0,0,0,Unknown,"Atakan Hoşgören,Cemil Şahin",34,Unknown,0,0,0,Başarısız
40,Kraliçe,2023,11,1,Cevdet Mercan,Özlem İnci Hekimoğlu,Kanal D,['Dram'],0,1,0,0,0,0,0,Mednova,"Burcu Özberk,Gökhan Alkan,Selin Şekerci,Özgün Karaman",100,Alper Ketenci,0,0,0,Başarısız
41,Kudüs Fatihi Selahaddin Eyyubi,2023,6,1,Sedat İnci,Serdar Özönalan,TRT 1,['Tarihî'],0,0,0,0,0,1,0,Unknown,"Uğur Güneş,Ekin Türkmen",160,Unknown,0,0,0,Başarısız
42,Kuzgun: Dipsiz Karanlık,2023,10,1,Seyit Özcan Giden,Unknown,tabii,['Suç'],0,0,0,1,1,0,0,Unknown,"Berk Hakman,Elifcan Ongurlar,Anıl İlter",50,Unknown,0,0,0,Başarısız
43,Küçük Dahi: İbn-i Sina,2023,10,1,Ali Özel,Unknown,tabii,['Macera'],0,0,0,1,0,0,0,Unknown,"Kaan Alpdayı,Deniz Bolışık,Mehmet Ali Kaptanlar",50,Unknown,0,0,0,Başarısız
44,Magarsus,2023,8,1,Yunus Ozan Korkut,Yunus Ozan Korkut,BluTV,['Dram'],0,1,0,0,0,0,0,Unknown,"Ercan Kesal,Berkay Ateş,Çağlar Ertuğrul,Merve Dizdar",45,Toygar Işıklı,0,1,0,Başarısız
45,Mahsusa: Trablusgarb,2023,10,1,Şafak Bal,Ozan Bodur,tabii,['Tarihî'],0,0,0,0,0,1,0,A23 Medya,"Baran Akbulut,Baki Çiftçi,Kenan Çoban,Uğur Pektaş,Ali Ersan Duru,Öykü Çelik,Mehmet Emin Kadıhan,Mert Carim,Sera Tokdemir",34,Unknown,0,0,0,Başarısız
46,Maviye Sürgün,2023,25,1,Nezaket Coşkun,Murat Dişli,Show TV,['Dram'],0,1,0,0,0,0,0,O3 Medya,"Caner Cindoruk,Damla Sönmez,Serkan Altunorak",120,Tuna Hizmetli,0,0,0,Başarısız
47,Metamorfoz: Kırılma,2023,10,1,Murat Onbul,Unknown,tabii,"['Suç','Gerilim']",0,0,0,1,1,0,0,Unknown,"Can Nergis,Tansu Taşanlar,Ahmet Varlı",34,Unknown,0,0,0,Başarısız
48,Mevlânâ Celâleddîn-i Rûmî,2023,13,2,Ali Aydın,Unknown,tabii,"['Dram','Tarihi','Biyografik']",0,1,0,0,1,0,0,Unknown,"Bülent İnal,Devrim Özkan,Kaan Yıldırım",34,Unknown,0,0,0,Kısmen Başarılı
49,Modern Doğu Masalları,2023,8,1,Yahya Samancı,Unknown,tabii,['Dram'],0,1,0,0,0,0,0,Unknown,Feyyaz Duman,34,Unknown,0,0,0,Başarısız
50,Ne Gemiler Yaktım,2023,4,1,Altan Dönmez,Banu Kiremitçi Bozkurt,Show TV,['Dram'],0,1,0,0,0,0,0,Ay Yapım,"Deniz Baysal Yurtcu,Devrim Özkan,Erkan Kolçak Köstendil,Berk Hakman",140,Toygar Işıklı,1,0,0,Başarısız
51,Organizasyon Bizim İşimiz,2023,10,1,Selçuk Aydemir,Unknown,tabii,['Komedi'],0,0,1,0,0,0,0,Unknown,"Onur Buldu,Sarp Apak,Şinasi Yurtsever",50,Unknown,0,0,0,Başarısız
52,Ömer,2023,37,2,Cem Karcı,Gülizar Irmak,Star TV,['Dram'],0,1,0,0,0,0,0,OGM Pictures,"Selahattin Paşalı,Gökçe Bahadır,Merve Dizdar,Barış Falay",140,Alp Yenier,1,1,0,Kısmen Başarılı
53,Prens,2023,8,1,Bülent İşbilen,Giray Altınok,BluTV,['Komedi'],0,0,1,0,0,0,0,MGX Film,"Giray Altınok,Serdar Orçin,Hüseyin Avni Danyal,Ceyda Düvenci",34,"Saki Çimen,Alper Aytekin",0,0,0,Başarısız
54,Ruhun Duymaz,2023,9,1,Aytaç Çiçek,Ayşe Üner Kutlu,FOX,['Romantik komedi'],0,0,1,0,0,0,1,O3 Medya,"Burcu Özberk,Şükrü Özyıldız",130,"Ercan Saatçi,İlker Yeter",0,0,0,Başarısız
55,Safir,2023,17,1,Semih Bağcı,Burcu Över,atv,['Dram'],0,1,0,0,0,0,0,NTC Medya,"İlhan Şen,Özge Yağız,Burak Berkay Akgül,Gizem Karaca",135,"Ender Gündüzlü,Metin Arıgül,Can Sanıbelli",0,0,0,Başarısız
56,Sakla Beni,2023,8,1,Nadim Güç,Armağan Gülşahin,Star TV,['Dram'],0,1,0,0,0,0,0,OGM Pictures,"Uraz Kaygılaroğlu,Cemre Baysel,Asude Kalebek",125,Güldiyar Tanrıdağlı,0,0,0,Başarısız
57,Sandık Kokusu,2023,4,1,Nezaket Coşkun,Melis Civelek,Show TV,['Dram'],0,1,0,0,0,0,0,Unknown,"Özge Özpirinçci,Demet Akbağ,Metin Akdülger",80,Unknown,0,1,0,Başarısız
58,Sarmaşık Zamanı,2023,16,1,Gökçen Usta,Savaş Ecevit Korkmaz,beIN CONNECT,"['Gerilim','Dram']",0,1,0,1,0,0,0,Gold Film,"Burçin Terzioğlu,Onur Tuna,Hazal Türesan",55,Ece Ölçer,0,1,0,Başarısız
59,"Sen, Ben, O!",2023,8,1,Emre Bahadır Çırakoğlu,Halil Tekeş,BluTV,['Romantik komedi'],0,0,1,0,0,0,1,PH YapımBabyMall,"Başak Gümülcinelioğlu,Çağrı Çıtanak",15,Buğra Şişman,0,0,0,Başarısız
60,Serhat,2023,10,1,Bora Tekay,Haluk Özenç,tabii,['Aksiyon'],0,0,0,1,0,0,0,Unknown,"Tamer Karadağlı,Nefise Karatay,Demir Karahan",53,Unknown,0,1,0,Başarısız
61,Son Gün,2023,8,1,Ahmet Sönmez,Ahmet Sönmez,tabii,['Dram'],0,0,0,0,0,0,0,Unknown,"Uğur Yücel,Erkan Petekkaya,Cemal Toktaş",60,Unknown,0,1,0,Başarısız
62,Şahane Hayatım,2023,9,1,Çağrı Bayrak,Meriç Acemi,FOX,"['Dram', 'Komedi']",0,1,1,0,0,0,0,Ay Yapım,"Hilal Altınbilek,Onur Tuna,Yiğit Özşener,Serkan Keskin,Nesrin Cavadzade,Sumru Yavrucuk",120,Güldiyar Tanrıdağlı,0,0,0,Başarısız
63,Şahmaran,2023,8,1,Umur Turagay,Pınar Bulut,Netflix,"['Macera', 'Fantastik', 'Dram']",0,1,0,1,0,0,0,Tims&B Productions,"Serenay Sarıkaya,Burak Deniz",52,Hakan Özer,0,1,0,Başarısız
64,Şanzelize Düğün Salonu,2023,8,1,Osman Nail Doğan,Unknown,tabii,['Komedi'],0,0,1,0,0,0,0,Unknown,"Halil Babür,Ezgi Eyüboğlu,Sait Genay",34,Unknown,0,0,0,Başarısız
65,Şebeke,2023,10,1,Ozan Uzunoğlu,Kemal Çelik,tabii,['Aksiyon'],0,0,0,1,0,0,0,Medyafikir Kulübü,"Furkan Palalı,Pelin Karahan,Eren Hacısalihoğlu,Ceyda Ateş",34,Unknown,0,0,0,Başarısız
66,Taçsız Prenses,2023,13,2,Volkan Keskin,Pınar Bulut,FOX,['Dram'],0,1,0,0,0,0,0,MF Yapım,"İsmail Hacıoğlu,Sümeyye Aydoğan,Elif Kurtaran,Tarık Papuççuoğlu",140,Aytekin Ataş,0,0,0,Kısmen Başarılı
67,Terzi,2023,23,3,Cem Karcı,Bekir Baran Sıtkı,Netflix,['Dram'],0,1,0,0,0,0,0,OGM Pictures,"Çağatay Ulusoy,Salih Bademci,Şifanur Gül",40,Fırat Yükselir,1,1,0,Başarılı
68,Tetikçinin Oğlu,2023,7,1,Yağız Alp Akaydın,Gökhan Horzum,FOX,"['Dram', 'Aksiyon']",0,1,0,1,0,0,0,O3 MedyaSame Film,Şevket ÇoruhTimuçin EsenGenco Özak,140,Atakan Ilgazdağ,1,0,0,Başarısız
69,Tozkoparan İskender: Gölge,2023,10,1,Şevki Es,Selin Arapkirli,tabii,['Macera'],0,0,0,1,0,0,0,Fotoroman Film,"Çağan Efe Ak,Leya Kırşan,Tuana Naz Tiryaki,Cemrehan Karakaş,Yağız Kılınç,Deniz Erayvaz,Berat Efe Parlar",50,Unknown,0,0,0,Başarısız
70,Türk Dedektif,2023,4,1,Niels Arden Oplev,Ben Schiffer,tabii,"['Macera', 'Dram', 'Aksiyon']",0,1,0,1,0,0,0,Ay Yapım,"Haluk Bilginer,Yasemin Kay Allen,Ethan Kai",55,Unknown,0,1,0,Başarısız
71,Üniversdeli,2023,10,1,Alphan Dikmen,Alphan Dikmen,tabii,['Komedi'],0,0,1,0,0,0,0,Unknown,"Öykü Çakar,Cemrehan Karakaş,Gül Onat",34,Unknown,0,0,0,Başarısız
72,Üvey Anne,2023,8,1,Yasemin Türkmenli,Yasemin Kırbaş,atv,['unknown'],0,1,0,0,0,0,1,Unknown,"Kutsi,Hazal Filiz Küçükköse,Aslı Tandoğan",130,Unknown,0,0,0,Başarısız
73,Veda Mektubu,2023,24,1,Deniz Çelebi Dikilitaş,Armağan Gülşahin,Kanal D,['Dram'],0,1,0,0,0,0,0,Most Production,"Nurgül Yeşilçay,Selim Bayraktar,Rabia Soytürk,Emre Kıvılcım,Bennu Yıldırımlar",140,Güldiyar Tanrıdağlı,0,1,0,Başarısız
74,Vermem Seni Ellere,2023,9,1,Ali Balcı,Şehrazat Tunus Taşçı,atv,['Romantik komedi'],0,0,1,0,0,0,1,AKN Film,"Emre Bey,Buse Meral",120,JingleTV,0,0,0,Başarısız
75,Ya Çok Seversen,2023,13,1,Ali Bilgin,Kübra Sülün,Kanal D,['Romantik komedi'],0,0,1,0,0,0,1,Ay Yapım,"Kerem Bürsin,Hafsanur Sancaktutan",130,Güldiyar Tanrıdağlı,1,0,0,Başarısız
76,Yabani,2023,16,1,Çağatay Tosun,Hilal Yıldız,FOX,['Dram'],0,1,0,0,0,0,0,NTC Medya,"Halit Özgür Sarı,Simay Barlas,Dolunay Soysert,Bertan Asllani,Yurdaer Okur",130,Ender Gündüzlü,1,0,0,Başarısız
77,Yalnız Kalpler,2023,100,1,Cevriye Demir,Eylem Akın,FOX,['Dram'],0,1,0,0,0,0,0,Bros FilmMavi Yapım,"Sena Şahin,Taygun Sungar,Elif Gülhan,Furkan Kapsız",50,Volkan Akmehmet,0,0,0,Başarısız
78,Yangın Günleri: Independenta,2023,8,1,Ömer Faruk Sorak,Unknown,tabii,"['Dram','Tarihi]",0,1,0,0,0,1,0,Unknown,"Bora Akkaş,Ecem Karavus,Selin Genç,Fikret Kuşkan",34,Unknown,0,0,0,Başarısız
79,Yaratılan,2023,8,1,Çağan Irmak,Çağan Irmak,Netflix,['unknown'],0,1,0,1,0,0,0,Unknown,"Taner Ölmez,Erkan Kolçak Köstendil,Şifanur Gül,Bülent Şakrak",46,Unknown,0,1,0,Başarısız
80,Yardımcı Oyuncu,2023,10,1,Emrah Aguş,Niyazi Canbaz,tabii,"['Komedi','Dram']",0,1,1,0,0,0,0,Unknown,"Sercan Badur,Birand Tunca,Öykü Naz Altay",40,Unknown,0,0,0,Başarısız
81,Yaz Şarkısı,2023,8,1,Doğa Can Anafarta,Ramazan Demirli,FOX,['Romantik komedi'],0,0,1,0,0,0,1,Pastel Film,"Nilsu Berfin Aktaş,Mustafa Mert Koç,Efekan Can",120,Cem Tuncer,0,0,0,Başarısız
82,Yeşil Deniz: Milenyum,2023,10,1,Serkan Özarslan,Ali Kara,tabii,"['Komedi', 'Aile', 'Dram']",1,1,1,0,0,0,0,RK Yapım,"Burak Serdar Şanal,Mert Turak,Burak Alkaş,Ali Barkın",60,Tuna Hizmetli,0,0,0,Başarısız
83,Yeşil Vadi'nin Kızı,2023,73,1,M. Murat Şenöy,Serhat Yiğit,Show TV,['Dram'],0,1,0,0,0,0,0,Yeşil YapımHacıyatmaz,"Beren Gökyıldız,Sezin Bozacı,Onur Dikmen",80,Red Sound,0,0,0,Başarısız
84,Yüz Yıllık Mucize,2023,13,1,Hilal Saral,Nuran Evren Şit,Star TV,"['Dram', 'Fantastik']",0,1,0,0,0,0,0,OGM Pictures,"Birkan Sokullu,Ebru Şahin",135,Alp Yenier,0,1,0,Başarısız
85,Adı Sevgi,2022,11,1,Sadullah Celen,Filiz Alpgezmen,atv,"['Dram', 'Aksiyon', 'Gerilim']",0,1,0,1,0,0,1,Koliba Film,"Yunus Emre Yıldırımer,Gizem Güneş",120,Engin Arslan,0,0,0,Başarısız
86,Ah Nerede,2022,7,1,Bülent İşbilen,Kübra Sülün,Star TV,['Romantik komedi'],0,0,1,0,0,0,1,10. Ev Yapım,"Oktay Çubuk,Nil Keser",120,Unknown,0,0,0,Başarısız
87,Aldatmak,2022,50,2,Murat Saraçoğlu,Yıldız Tunç,atv,['Dram'],0,1,0,0,0,0,0,Tims&B Productions,"Vahide Perçin,Ercan Kesal,Mustafa Uğurlu",130,Aytekin Ataş,0,0,0,Kısmen Başarılı
88,Annenin Sırrıdır Çocuk,2022,11,1,Müge Uğurlar,Makbule Kosif,TV8,['Dram'],0,1,0,0,0,0,0,NTC Medya,"İrem Helvacıoğlu,Selin Yeninci,Engin Öztürk,Olgun Toker",140,Atakan Ilgazdağ,0,0,0,Başarısız
89,Andropoz,2022,6,1,Taylan Biraderler,Engin Günaydın,Netflix,"['Dram', 'Komedi']",0,1,1,0,0,0,0,Unknown,"Engin Günaydın,Tamer Karadağlı,Derya Karadaş",45,Unknown,0,1,0,Başarısız
90,Aşk Kumardır,2022,7,1,Nezih Helvacıoğlu,Murat Dişli,Exxen,['Komedi'],0,0,1,0,0,0,0,Hap Film,"Ecem Erkek,Barış Yıldız,Seda Türkmen,Efe Tunçer,Elit Andaç Çam,Emre Taştekin",25,Unknown,0,0,0,Başarısız
91,Aşk ve Umut,2022,228,2,Gürsel Ateş,Merve Balıkçı,Kanal D,['Dram'],0,1,0,0,0,0,0,Focus Film,"Hakan Dinçkol,İlayda Orkut,Eda Elif Başlamışlı,Furkan Okumuş,Zeynep Melis Girşen,Erdem Adilce",50,Cem Tuncer,0,0,0,Kısmen Başarılı
92,Aşkın Yolculuğu: Hacı Bayram-ı Veli,2022,26,1,Kamil Aydın,İsa Yıldız,TRT 1,"['Tarihî', 'Kurgu', 'Dinî']",0,0,0,0,0,1,0,Tekden Film,Burak Sevinç,120,Gürkan Çakıcı,0,0,0,Başarısız
93,Baba,2022,30,2,Çağrı Bayrak,Gökhan Horzum,Show TV,['Dram'],0,1,0,0,0,0,0,Ay Yapım,"Haluk Bilginer,Tolga Sarıtaş",120,Güldiyar Tanrıdağlı,0,1,0,Kısmen Başarılı
94,Balkan Ninnisi,2022,25,1,Doğan Ümit Karaca,Uğur Uzunok,TRT 1,"['Aile', 'Romantik']",1,0,0,0,0,0,1,Nebula Film Yapım,"Erdal Özyağcılar,Özlem Türkad,Emre Bey,Merih Öztürk,Hakan Boyav,Suzan Akbelge,Can Kolukısa,Erman Saban,Bedia Begovska",74,Unknown,0,0,0,Başarısız
95,Barbaros Hayreddin: Sultanın Fermanı,2022,20,1,Berat Özdoğan,Zülküf Yücel ,TRT 1,"['Tarihî', 'Kurgu', 'Aksiyon', 'Macera']",0,0,0,1,0,1,0,Es Film,"Tolgahan Sayışman,Timur Acar,Ufuk Özkan,Melisa Döngel,Arif Pişkin,Hasan Küçükçetin,Bahadır Yenişehirlioğlu",120,Ender Gündüzlü,0,1,0,Başarısız
96,Ben Bu Cihana Sığmazam,2022,51,2,Onur Tan,Oktay Kaynarca,atv,"['Aksiyon', 'Dram']",0,1,0,1,0,0,0,Güzel Adamlar Medya,"Oktay Kaynarca,Ebru Özkan,Ozan Akbaba,İsmail Demirci,Pelin Akil",135,Levent Güneş,0,0,0,Kısmen Başarılı
97,Ben Gri,2022,8,1,Taylan Biraderler,Unknown,Disney+,['Psikolojik gerilim'],0,0,0,1,0,0,0,OGM Pictures,"Timuçin Esen,Ebru Özkan",35,Unknown,0,1,0,Başarısız
98,Bir Küçük Gün Işığı,2022,36,1,Emre Kabakuşak,Birol Elginöz,atv,['Dram'],0,1,0,0,0,0,0,NGM,"Seray Kaya,Berk Oktay,Gizem Ünsal",135,Alp Yenier,1,0,0,Başarısız
99,Bir Peri Masalı,2022,13,1,Merve Çolak,Armağan Gülşahin,FOX,['Dram'],0,1,0,0,0,0,0,Medyapım,"Alina Boz,Taro Emir Tekin,Hazal Filiz Küçükköse,Nazan Kesal",130,Alper Ketenci,0,0,0,Başarısız
100,Canım Annem,2022,350,1,Emrah Şendur,Ahmet Köşeoğlu,TV8,['Dram'],0,1,0,0,0,0,0,Stellar Yapım,"Selin Sezgin,Erol Gedik,Gece Işık Demirel",50,Murat Evgin,0,0,0,Başarısız
101,Cezailer,2022,6,1,Murat Can Oğuz,Murat Can Oğuz,GAİN,['Dram'],0,1,0,0,0,0,0,Most Production,"Yiğit Özşener,Rıza Kocaoğlu",45,Taner Yücel,0,0,0,Başarısız
